"gene_id" "gene_biotype"
"446" "ENSG00000273547" "protein_coding"
"452" "ENSG00000283574" "transcribed_processed_pseudogene"
"455" "ENSG00000229376" "processed_pseudogene"
"459" "ENSG00000228327" "transcribed_unprocessed_pseudogene"
"483" "ENSG00000223181" "snRNA"
"486" "ENSG00000229905" "antisense"
"490" "ENSG00000237491" "lincRNA"
"572" "ENSG00000230092" "transcribed_unprocessed_pseudogene"
"583" "ENSG00000177757" "lincRNA"
"587" "ENSG00000228794" "processed_transcript"
"665" "ENSG00000225880" "lincRNA"
"668" "ENSG00000230368" "lincRNA"
"682" "ENSG00000234711" "unprocessed_pseudogene"
"685" "ENSG00000283040" "transcribed_unprocessed_pseudogene"
"692" "ENSG00000272438" "lincRNA"
"696" "ENSG00000230699" "lincRNA"
"700" "ENSG00000241180" "lincRNA"
"704" "ENSG00000223764" "lincRNA"
"715" "ENSG00000187634" "protein_coding"
"1072" "ENSG00000188976" "protein_coding"
"1154" "ENSG00000187961" "protein_coding"
"1228" "ENSG00000187583" "protein_coding"
"1353" "ENSG00000187642" "protein_coding"
"1382" "ENSG00000272512" "lincRNA"
"1385" "ENSG00000188290" "protein_coding"
"1424" "ENSG00000187608" "protein_coding"
"1454" "ENSG00000231702" "processed_pseudogene"
"1457" "ENSG00000224969" "antisense"
"1461" "ENSG00000188157" "protein_coding"
"1668" "ENSG00000242590" "sense_intronic"
"1672" "ENSG00000217801" "transcribed_unprocessed_pseudogene"
"1702" "ENSG00000273443" "lincRNA"
"1706" "ENSG00000237330" "protein_coding"
"1716" "ENSG00000131591" "protein_coding"
"2035" "ENSG00000223823" "lincRNA"
"2040" "ENSG00000207730" "miRNA"
"2043" "ENSG00000207607" "miRNA"
"2046" "ENSG00000198976" "miRNA"
"2049" "ENSG00000272141" "lincRNA"
"2052" "ENSG00000205231" "antisense"
"2056" "ENSG00000162571" "protein_coding"
"2179" "ENSG00000186891" "protein_coding"
"2232" "ENSG00000186827" "protein_coding"
"2263" "ENSG00000078808" "protein_coding"
"2343" "ENSG00000176022" "protein_coding"
"2351" "ENSG00000184163" "protein_coding"
"2387" "ENSG00000260179" "lincRNA"
"2390" "ENSG00000160087" "protein_coding"
"2664" "ENSG00000230415" "lincRNA"
"2672" "ENSG00000162572" "protein_coding"
"2929" "ENSG00000131584" "protein_coding"
"3130" "ENSG00000278073" "miRNA"
"3133" "ENSG00000169972" "protein_coding"
"3185" "ENSG00000127054" "protein_coding"
"4033" "ENSG00000240731" "sense_intronic"
"4037" "ENSG00000224051" "protein_coding"
"4061" "ENSG00000169962" "protein_coding"
"4079" "ENSG00000107404" "protein_coding"
"4224" "ENSG00000162576" "protein_coding"
"4349" "ENSG00000175756" "protein_coding"
"4406" "ENSG00000223663" "processed_pseudogene"
"4409" "ENSG00000221978" "protein_coding"
"4669" "ENSG00000224870" "processed_transcript"
"4696" "ENSG00000242485" "protein_coding"
"4742" "ENSG00000264293" "misc_RNA"
"4745" "ENSG00000272455" "lincRNA"
"4748" "ENSG00000235098" "protein_coding"
"4801" "ENSG00000225905" "antisense"
"4805" "ENSG00000205116" "protein_coding"
"4813" "ENSG00000225285" "lincRNA"
"4826" "ENSG00000179403" "protein_coding"
"4863" "ENSG00000215915" "protein_coding"
"4911" "ENSG00000160072" "protein_coding"
"4986" "ENSG00000197785" "protein_coding"
"5155" "ENSG00000205090" "protein_coding"
"5193" "ENSG00000160075" "protein_coding"
"5226" "ENSG00000215014" "lincRNA"
"5229" "ENSG00000279244" "protein_coding"
"5237" "ENSG00000274481" "processed_pseudogene"
"5240" "ENSG00000228594" "protein_coding"
"5248" "ENSG00000272106" "antisense"
"5251" "ENSG00000197530" "protein_coding"
"5900" "ENSG00000189409" "protein_coding"
"6023" "ENSG00000248333" "protein_coding"
"6400" "ENSG00000272004" "antisense"
"6404" "ENSG00000189339" "protein_coding"
"6482" "ENSG00000269737" "transcribed_processed_pseudogene"
"6488" "ENSG00000215914" "unprocessed_pseudogene"
"6497" "ENSG00000008128" "protein_coding"
"6945" "ENSG00000268575" "processed_transcript"
"6967" "ENSG00000227775" "transcribed_processed_pseudogene"
"6980" "ENSG00000215790" "protein_coding"
"7021" "ENSG00000008130" "protein_coding"
"7241" "ENSG00000078369" "protein_coding"
"7396" "ENSG00000231050" "antisense"
"7400" "ENSG00000169885" "protein_coding"
"7441" "ENSG00000178821" "protein_coding"
"7502" "ENSG00000142609" "protein_coding"
"7676" "ENSG00000233542" "antisense"
"7680" "ENSG00000187730" "protein_coding"
"7704" "ENSG00000226969" "antisense"
"7712" "ENSG00000067606" "protein_coding"
"8117" "ENSG00000271806" "antisense"
"8120" "ENSG00000182873" "antisense"
"8128" "ENSG00000162585" "protein_coding"
"8274" "ENSG00000234396" "lincRNA"
"8278" "ENSG00000157933" "protein_coding"
"8308" "ENSG00000116151" "protein_coding"
"8442" "ENSG00000272161" "sense_intronic"
"8445" "ENSG00000269896" "transcribed_processed_pseudogene"
"8450" "ENSG00000272420" "sense_intronic"
"8453" "ENSG00000157916" "protein_coding"
"8581" "ENSG00000157911" "protein_coding"
"8682" "ENSG00000149527" "protein_coding"
"8914" "ENSG00000224387" "antisense"
"8918" "ENSG00000229393" "antisense"
"8922" "ENSG00000157881" "protein_coding"
"9118" "ENSG00000197921" "protein_coding"
"9130" "ENSG00000272449" "lincRNA"
"9133" "ENSG00000238164" "antisense"
"9159" "ENSG00000157873" "protein_coding"
"9325" "ENSG00000225931" "TEC"
"9330" "ENSG00000228037" "lincRNA"
"9335" "ENSG00000157870" "protein_coding"
"9512" "ENSG00000142606" "protein_coding"
"9688" "ENSG00000237058" "antisense"
"9692" "ENSG00000215912" "protein_coding"
"9734" "ENSG00000283259" "antisense"
"9746" "ENSG00000233234" "lincRNA"
"9750" "ENSG00000231630" "lincRNA"
"9754" "ENSG00000169717" "protein_coding"
"9762" "ENSG00000177133" "antisense"
"9798" "ENSG00000142611" "protein_coding"
"10018" "ENSG00000283572" "miRNA"
"10021" "ENSG00000226286" "antisense"
"10025" "ENSG00000279839" "TEC"
"10028" "ENSG00000272235" "lincRNA"
"10031" "ENSG00000130762" "protein_coding"
"10164" "ENSG00000272088" "lincRNA"
"10167" "ENSG00000162591" "protein_coding"
"10420" "ENSG00000207776" "miRNA"
"10423" "ENSG00000238260" "antisense"
"10428" "ENSG00000158109" "protein_coding"
"10457" "ENSG00000116213" "protein_coding"
"10588" "ENSG00000078900" "protein_coding"
"10919" "ENSG00000227589" "antisense"
"10924" "ENSG00000235131" "antisense"
"10928" "ENSG00000227372" "unitary_pseudogene"
"10985" "ENSG00000276189" "misc_RNA"
"10988" "ENSG00000162592" "protein_coding"
"11054" "ENSG00000235169" "protein_coding"
"11084" "ENSG00000130764" "protein_coding"
"11122" "ENSG00000266075" "misc_RNA"
"11125" "ENSG00000272153" "antisense"
"11128" "ENSG00000116198" "protein_coding"
"11284" "ENSG00000169598" "protein_coding"
"11476" "ENSG00000198912" "protein_coding"
"11500" "ENSG00000236423" "lincRNA"
"11513" "ENSG00000233304" "lincRNA"
"11526" "ENSG00000226374" "lincRNA"
"11543" "ENSG00000229280" "processed_pseudogene"
"11546" "ENSG00000235054" "lincRNA"
"11577" "ENSG00000227169" "lincRNA"
"11581" "ENSG00000232596" "lincRNA"
"11596" "ENSG00000196581" "protein_coding"
"11634" "ENSG00000231510" "lincRNA"
"11640" "ENSG00000260972" "lincRNA"
"11643" "ENSG00000283356" "unprocessed_pseudogene"
"11646" "ENSG00000236948" "lincRNA"
"11654" "ENSG00000264341" "miRNA"
"11657" "ENSG00000264101" "miRNA"
"11660" "ENSG00000131697" "protein_coding"
"11960" "ENSG00000069424" "protein_coding"
"12388" "ENSG00000116254" "protein_coding"
"12684" "ENSG00000116251" "protein_coding"
"12774" "ENSG00000226944" "antisense"
"12779" "ENSG00000158286" "protein_coding"
"12864" "ENSG00000116237" "protein_coding"
"12913" "ENSG00000225077" "lincRNA"
"12923" "ENSG00000173673" "protein_coding"
"12937" "ENSG00000158292" "protein_coding"
"12955" "ENSG00000097021" "protein_coding"
"13167" "ENSG00000271746" "antisense"
"13170" "ENSG00000069812" "protein_coding"
"13233" "ENSG00000187017" "protein_coding"
"13446" "ENSG00000265392" "miRNA"
"13449" "ENSG00000231868" "antisense"
"13454" "ENSG00000215788" "protein_coding"
"13745" "ENSG00000171680" "protein_coding"
"14256" "ENSG00000162408" "protein_coding"
"14301" "ENSG00000253022" "snRNA"
"14304" "ENSG00000229519" "processed_pseudogene"
"14308" "ENSG00000173662" "protein_coding"
"14359" "ENSG00000204859" "protein_coding"
"14452" "ENSG00000162413" "protein_coding"
"14522" "ENSG00000116273" "protein_coding"
"14539" "ENSG00000041988" "protein_coding"
"14624" "ENSG00000007923" "protein_coding"
"14780" "ENSG00000228750" "lincRNA"
"14798" "ENSG00000237436" "antisense"
"14803" "ENSG00000171735" "protein_coding"
"15007" "ENSG00000227950" "processed_pseudogene"
"15010" "ENSG00000237365" "antisense"
"15014" "ENSG00000207056" "snRNA"
"15017" "ENSG00000237402" "sense_intronic"
"15021" "ENSG00000237728" "antisense"
"15029" "ENSG00000225126" "antisense"
"15033" "ENSG00000270171" "lincRNA"
"15036" "ENSG00000270035" "lincRNA"
"15039" "ENSG00000269978" "lincRNA"
"15042" "ENSG00000049245" "protein_coding"
"15077" "ENSG00000269925" "sense_intronic"
"15080" "ENSG00000049246" "protein_coding"
"15314" "ENSG00000236266" "antisense"
"15319" "ENSG00000049247" "protein_coding"
"15365" "ENSG00000049249" "protein_coding"
"15432" "ENSG00000270330" "processed_pseudogene"
"15435" "ENSG00000116288" "protein_coding"
"15578" "ENSG00000200344" "misc_RNA"
"15581" "ENSG00000116285" "protein_coding"
"15639" "ENSG00000238290" "lincRNA"
"15644" "ENSG00000232848" "processed_pseudogene"
"15648" "ENSG00000229305" "processed_pseudogene"
"15654" "ENSG00000227634" "lincRNA"
"15665" "ENSG00000200975" "snRNA"
"15668" "ENSG00000233645" "lincRNA"
"15672" "ENSG00000251977" "snRNA"
"15675" "ENSG00000162426" "protein_coding"
"15729" "ENSG00000252254" "misc_RNA"
"15732" "ENSG00000142599" "protein_coding"
"16039" "ENSG00000232912" "antisense"
"16049" "ENSG00000221083" "snoRNA"
"16052" "ENSG00000270282" "processed_pseudogene"
"16055" "ENSG00000234619" "processed_pseudogene"
"16058" "ENSG00000224315" "processed_pseudogene"
"16061" "ENSG00000222511" "misc_RNA"
"16064" "ENSG00000226545" "unprocessed_pseudogene"
"16068" "ENSG00000228423" "lincRNA"
"16072" "ENSG00000229716" "processed_pseudogene"
"16075" "ENSG00000074800" "protein_coding"
"16148" "ENSG00000274258" "miRNA"
"16151" "ENSG00000236269" "sense_intronic"
"16155" "ENSG00000230679" "antisense"
"16159" "ENSG00000201725" "snRNA"
"16162" "ENSG00000238249" "processed_pseudogene"
"16165" "ENSG00000232208" "processed_pseudogene"
"16168" "ENSG00000232663" "processed_pseudogene"
"16171" "ENSG00000131686" "protein_coding"
"16262" "ENSG00000265141" "misc_RNA"
"16265" "ENSG00000197241" "protein_coding"
"16293" "ENSG00000142583" "protein_coding"
"16449" "ENSG00000252404" "scaRNA"
"16452" "ENSG00000180758" "protein_coding"
"16474" "ENSG00000228526" "lincRNA"
"16486" "ENSG00000234546" "lincRNA"
"16498" "ENSG00000281937" "lincRNA"
"16501" "ENSG00000049239" "protein_coding"
"16535" "ENSG00000171621" "protein_coding"
"16573" "ENSG00000252956" "rRNA"
"16576" "ENSG00000235263" "lincRNA"
"16580" "ENSG00000171612" "protein_coding"
"16600" "ENSG00000231181" "processed_pseudogene"
"16603" "ENSG00000188807" "protein_coding"
"16685" "ENSG00000171608" "protein_coding"
"16962" "ENSG00000179840" "antisense"
"16966" "ENSG00000233268" "processed_pseudogene"
"16970" "ENSG00000231789" "antisense"
"16975" "ENSG00000171603" "protein_coding"
"17099" "ENSG00000271264" "processed_pseudogene"
"17103" "ENSG00000280113" "protein_coding"
"17111" "ENSG00000178585" "protein_coding"
"17174" "ENSG00000223989" "antisense"
"17179" "ENSG00000162441" "protein_coding"
"17257" "ENSG00000228150" "sense_intronic"
"17261" "ENSG00000173614" "protein_coding"
"17319" "ENSG00000202415" "misc_RNA"
"17322" "ENSG00000283611" "unitary_pseudogene"
"17328" "ENSG00000265521" "miRNA"
"17331" "ENSG00000241326" "sense_intronic"
"17335" "ENSG00000162444" "protein_coding"
"17364" "ENSG00000130939" "protein_coding"
"17555" "ENSG00000224340" "processed_pseudogene"
"17558" "ENSG00000233623" "processed_pseudogene"
"17562" "ENSG00000201746" "snRNA"
"17565" "ENSG00000054523" "protein_coding"
"18215" "ENSG00000264881" "miRNA"
"18218" "ENSG00000199562" "snRNA"
"18221" "ENSG00000264501" "misc_RNA"
"18224" "ENSG00000142657" "protein_coding"
"18345" "ENSG00000271989" "antisense"
"18348" "ENSG00000251503" "protein_coding"
"18418" "ENSG00000175279" "protein_coding"
"18466" "ENSG00000241563" "protein_coding"
"18476" "ENSG00000160049" "protein_coding"
"18524" "ENSG00000203469" "antisense"
"18528" "ENSG00000142655" "protein_coding"
"18575" "ENSG00000243267" "misc_RNA"
"18578" "ENSG00000130940" "protein_coding"
"18698" "ENSG00000272078" "antisense"
"18702" "ENSG00000225158" "processed_pseudogene"
"18705" "ENSG00000175262" "protein_coding"
"18792" "ENSG00000215785" "processed_pseudogene"
"18796" "ENSG00000120948" "protein_coding"
"19127" "ENSG00000277726" "protein_coding"
"19189" "ENSG00000009724" "protein_coding"
"19239" "ENSG00000271895" "antisense"
"19245" "ENSG00000116649" "protein_coding"
"19308" "ENSG00000171824" "protein_coding"
"19474" "ENSG00000226849" "antisense"
"19478" "ENSG00000230337" "antisense"
"19485" "ENSG00000198793" "protein_coding"
"19693" "ENSG00000225602" "antisense"
"19704" "ENSG00000253086" "snRNA"
"19707" "ENSG00000171819" "protein_coding"
"19727" "ENSG00000207451" "snRNA"
"19730" "ENSG00000238173" "processed_pseudogene"
"19733" "ENSG00000120942" "protein_coding"
"19774" "ENSG00000238199" "processed_pseudogene"
"19778" "ENSG00000224338" "processed_pseudogene"
"19781" "ENSG00000204624" "protein_coding"
"19847" "ENSG00000235643" "lincRNA"
"19852" "ENSG00000116661" "protein_coding"
"19889" "ENSG00000132879" "protein_coding"
"20031" "ENSG00000116663" "protein_coding"
"20065" "ENSG00000116670" "protein_coding"
"20227" "ENSG00000162490" "protein_coding"
"20247" "ENSG00000177674" "protein_coding"
"20405" "ENSG00000215910" "protein_coding"
"20545" "ENSG00000177553" "antisense"
"20550" "ENSG00000177000" "protein_coding"
"20705" "ENSG00000011021" "protein_coding"
"20914" "ENSG00000242349" "antisense"
"20924" "ENSG00000276470" "misc_RNA"
"20927" "ENSG00000278852" "misc_RNA"
"20930" "ENSG00000175206" "protein_coding"
"20966" "ENSG00000275915" "misc_RNA"
"20969" "ENSG00000120937" "protein_coding"
"20981" "ENSG00000224904" "processed_pseudogene"
"20984" "ENSG00000199347" "snRNA"
"20987" "ENSG00000201801" "snRNA"
"20990" "ENSG00000116685" "protein_coding"
"21024" "ENSG00000083444" "protein_coding"
"21137" "ENSG00000116688" "protein_coding"
"21247" "ENSG00000270914" "processed_pseudogene"
"21250" "ENSG00000116691" "protein_coding"
"21310" "ENSG00000202461" "misc_RNA"
"21313" "ENSG00000276869" "miRNA"
"21316" "ENSG00000243539" "misc_RNA"
"21319" "ENSG00000120949" "protein_coding"
"21441" "ENSG00000201135" "snRNA"
"21444" "ENSG00000227875" "processed_pseudogene"
"21447" "ENSG00000028137" "protein_coding"
"21503" "ENSG00000263676" "miRNA"
"21506" "ENSG00000225196" "processed_pseudogene"
"21509" "ENSG00000252969" "snoRNA"
"21512" "ENSG00000048707" "protein_coding"
"22021" "ENSG00000239149" "snoRNA"
"22024" "ENSG00000229484" "lincRNA"
"22028" "ENSG00000162496" "protein_coding"
"22071" "ENSG00000221340" "snRNA"
"22074" "ENSG00000276830" "miRNA"
"22077" "ENSG00000272482" "lincRNA"
"22080" "ENSG00000204518" "protein_coding"
"22093" "ENSG00000226166" "processed_pseudogene"
"22096" "ENSG00000188984" "protein_coding"
"22114" "ENSG00000157330" "protein_coding"
"22142" "ENSG00000116726" "protein_coding"
"22154" "ENSG00000116721" "protein_coding"
"22171" "ENSG00000228338" "lincRNA"
"22175" "ENSG00000239810" "protein_coding"
"22189" "ENSG00000231103" "unprocessed_pseudogene"
"22195" "ENSG00000179172" "protein_coding"
"22204" "ENSG00000120952" "protein_coding"
"22218" "ENSG00000243073" "protein_coding"
"22232" "ENSG00000187545" "protein_coding"
"22246" "ENSG00000204510" "protein_coding"
"22270" "ENSG00000207434" "snRNA"
"22273" "ENSG00000234064" "unprocessed_pseudogene"
"22277" "ENSG00000232423" "protein_coding"
"22304" "ENSG00000274178" "unprocessed_pseudogene"
"22309" "ENSG00000274764" "protein_coding"
"22323" "ENSG00000229571" "protein_coding"
"22363" "ENSG00000277058" "protein_coding"
"22373" "ENSG00000277862" "unprocessed_pseudogene"
"22378" "ENSG00000236179" "unprocessed_pseudogene"
"22382" "ENSG00000275774" "protein_coding"
"22392" "ENSG00000229978" "transcribed_unprocessed_pseudogene"
"22400" "ENSG00000233336" "lincRNA"
"22404" "ENSG00000280267" "protein_coding"
"22418" "ENSG00000179412" "protein_coding"
"22424" "ENSG00000204505" "protein_coding"
"22438" "ENSG00000279169" "unprocessed_pseudogene"
"22443" "ENSG00000279804" "protein_coding"
"22454" "ENSG00000250894" "unprocessed_pseudogene"
"22459" "ENSG00000270601" "protein_coding"
"22473" "ENSG00000231219" "unprocessed_pseudogene"
"22477" "ENSG00000207511" "snRNA"
"22480" "ENSG00000182330" "protein_coding"
"22517" "ENSG00000204501" "protein_coding"
"22544" "ENSG00000237700" "unitary_pseudogene"
"22549" "ENSG00000228229" "lincRNA"
"22553" "ENSG00000204481" "protein_coding"
"22570" "ENSG00000204480" "protein_coding"
"22580" "ENSG00000204479" "protein_coding"
"22592" "ENSG00000204478" "protein_coding"
"22617" "ENSG00000162494" "protein_coding"
"22627" "ENSG00000259961" "antisense"
"22632" "ENSG00000215909" "processed_pseudogene"
"22636" "ENSG00000162493" "protein_coding"
"22831" "ENSG00000222952" "rRNA"
"22834" "ENSG00000237445" "lincRNA"
"22838" "ENSG00000253085" "scaRNA"
"22841" "ENSG00000116731" "protein_coding"
"23031" "ENSG00000189337" "protein_coding"
"23222" "ENSG00000252151" "snRNA"
"23225" "ENSG00000231606" "lincRNA"
"23229" "ENSG00000234593" "lincRNA"
"23235" "ENSG00000235829" "processed_pseudogene"
"23239" "ENSG00000175147" "antisense"
"23253" "ENSG00000171729" "protein_coding"
"23324" "ENSG00000204464" "lincRNA"
"23331" "ENSG00000215720" "processed_pseudogene"
"23335" "ENSG00000278480" "processed_pseudogene"
"23339" "ENSG00000142621" "protein_coding"
"23744" "ENSG00000233485" "antisense"
"23748" "ENSG00000236045" "antisense"
"23752" "ENSG00000228140" "lincRNA"
"23757" "ENSG00000142634" "protein_coding"
"23784" "ENSG00000162438" "protein_coding"
"23832" "ENSG00000142615" "protein_coding"
"23862" "ENSG00000215704" "protein_coding"
"23904" "ENSG00000132906" "protein_coding"
"24086" "ENSG00000116138" "protein_coding"
"24293" "ENSG00000251866" "scaRNA"
"24296" "ENSG00000272510" "antisense"
"24299" "ENSG00000116771" "protein_coding"
"24319" "ENSG00000237301" "antisense"
"24323" "ENSG00000235084" "processed_pseudogene"
"24326" "ENSG00000252417" "snRNA"
"24329" "ENSG00000236500" "processed_pseudogene"
"24332" "ENSG00000197312" "protein_coding"
"24399" "ENSG00000215695" "protein_coding"
"24405" "ENSG00000271742" "lincRNA"
"24408" "ENSG00000116786" "protein_coding"
"24511" "ENSG00000237938" "antisense"
"24527" "ENSG00000162461" "protein_coding"
"24551" "ENSG00000224459" "antisense"
"24555" "ENSG00000162460" "protein_coding"
"24577" "ENSG00000162458" "protein_coding"
"24766" "ENSG00000224321" "processed_pseudogene"
"24769" "ENSG00000233954" "protein_coding"
"24777" "ENSG00000178715" "processed_pseudogene"
"24780" "ENSG00000179743" "antisense"
"24784" "ENSG00000065526" "protein_coding"
"24852" "ENSG00000270620" "unprocessed_pseudogene"
"24855" "ENSG00000116809" "protein_coding"
"25036" "ENSG00000234607" "processed_pseudogene"
"25039" "ENSG00000231353" "unprocessed_pseudogene"
"25042" "ENSG00000275503" "processed_pseudogene"
"25045" "ENSG00000224966" "unprocessed_pseudogene"
"25055" "ENSG00000183888" "protein_coding"
"25065" "ENSG00000233078" "antisense"
"25069" "ENSG00000173641" "protein_coding"
"25139" "ENSG00000186510" "protein_coding"
"25320" "ENSG00000232456" "unprocessed_pseudogene"
"25327" "ENSG00000184908" "protein_coding"
"25449" "ENSG00000185519" "protein_coding"
"25476" "ENSG00000142627" "protein_coding"
"25529" "ENSG00000227959" "antisense"
"25533" "ENSG00000224621" "antisense"
"25537" "ENSG00000234166" "antisense"
"25541" "ENSG00000142632" "protein_coding"
"25621" "ENSG00000237276" "transcribed_unprocessed_pseudogene"
"25647" "ENSG00000132881" "protein_coding"
"25672" "ENSG00000233929" "processed_pseudogene"
"25675" "ENSG00000037637" "protein_coding"
"25725" "ENSG00000055070" "protein_coding"
"25813" "ENSG00000226457" "processed_pseudogene"
"25816" "ENSG00000187144" "protein_coding"
"25932" "ENSG00000157191" "protein_coding"
"26109" "ENSG00000226029" "lincRNA"
"26113" "ENSG00000080947" "transcribed_unprocessed_pseudogene"
"26170" "ENSG00000206652" "snRNA"
"26173" "ENSG00000261135" "lincRNA"
"26176" "ENSG00000224174" "lincRNA"
"26180" "ENSG00000233421" "lincRNA"
"26187" "ENSG00000277344" "snRNA"
"26190" "ENSG00000268991" "protein_coding"
"26196" "ENSG00000225710" "unprocessed_pseudogene"
"26201" "ENSG00000219481" "protein_coding"
"26384" "ENSG00000271732" "lincRNA"
"26387" "ENSG00000215908" "transcribed_unprocessed_pseudogene"
"26419" "ENSG00000186301" "unprocessed_pseudogene"
"26439" "ENSG00000282143" "lincRNA"
"26444" "ENSG00000207513" "snRNA"
"26447" "ENSG00000237847" "protein_coding"
"26453" "ENSG00000280114" "unprocessed_pseudogene"
"26460" "ENSG00000236698" "processed_pseudogene"
"26463" "ENSG00000268869" "transcribed_unprocessed_pseudogene"
"26484" "ENSG00000279151" "lincRNA"
"26489" "ENSG00000279132" "protein_coding"
"26496" "ENSG00000282740" "lincRNA"
"26501" "ENSG00000058453" "protein_coding"
"26731" "ENSG00000227684" "transcribed_unprocessed_pseudogene"
"26740" "ENSG00000207389" "snRNA"
"26743" "ENSG00000186715" "transcribed_unprocessed_pseudogene"
"26796" "ENSG00000223643" "lincRNA"
"26806" "ENSG00000230239" "lincRNA"
"26811" "ENSG00000263811" "miRNA"
"26814" "ENSG00000228549" "lincRNA"
"26830" "ENSG00000277234" "snRNA"
"26833" "ENSG00000238142" "lincRNA"
"26843" "ENSG00000235241" "processed_pseudogene"
"26846" "ENSG00000207005" "snRNA"
"26849" "ENSG00000272426" "lincRNA"
"26852" "ENSG00000117122" "protein_coding"
"26922" "ENSG00000226526" "antisense"
"26926" "ENSG00000159363" "protein_coding"
"27282" "ENSG00000117118" "protein_coding"
"27356" "ENSG00000117115" "protein_coding"
"27434" "ENSG00000204362" "lincRNA"
"27444" "ENSG00000282843" "lincRNA"
"27451" "ENSG00000142623" "protein_coding"
"27497" "ENSG00000142619" "protein_coding"
"27535" "ENSG00000266634" "miRNA"
"27538" "ENSG00000159339" "protein_coding"
"27603" "ENSG00000280226" "protein_coding"
"27609" "ENSG00000276747" "protein_coding"
"27647" "ENSG00000179051" "protein_coding"
"27711" "ENSG00000227751" "antisense"
"27715" "ENSG00000074964" "protein_coding"
"27955" "ENSG00000236648" "lincRNA"
"27961" "ENSG00000117148" "protein_coding"
"27982" "ENSG00000261781" "lincRNA"
"27987" "ENSG00000117154" "protein_coding"
"28030" "ENSG00000280222" "TEC"
"28033" "ENSG00000230035" "antisense"
"28039" "ENSG00000225387" "lincRNA"
"28043" "ENSG00000179023" "protein_coding"
"28050" "ENSG00000235282" "processed_pseudogene"
"28053" "ENSG00000225478" "processed_pseudogene"
"28056" "ENSG00000009709" "protein_coding"
"28122" "ENSG00000179002" "protein_coding"
"28139" "ENSG00000255275" "protein_coding"
"28197" "ENSG00000159423" "protein_coding"
"28358" "ENSG00000265606" "miRNA"
"28361" "ENSG00000221662" "miRNA"
"28364" "ENSG00000169991" "protein_coding"
"28416" "ENSG00000272084" "3prime_overlapping_ncRNA"
"28419" "ENSG00000127481" "protein_coding"
"28912" "ENSG00000230424" "antisense"
"28916" "ENSG00000127463" "protein_coding"
"29141" "ENSG00000053372" "protein_coding"
"29171" "ENSG00000211454" "polymorphic_pseudogene"
"29228" "ENSG00000162482" "protein_coding"
"29248" "ENSG00000270728" "processed_pseudogene"
"29252" "ENSG00000053371" "protein_coding"
"29317" "ENSG00000200403" "snRNA"
"29320" "ENSG00000040487" "protein_coding"
"29441" "ENSG00000077549" "protein_coding"
"29579" "ENSG00000240490" "misc_RNA"
"29582" "ENSG00000201609" "snRNA"
"29585" "ENSG00000235185" "antisense"
"29589" "ENSG00000173436" "protein_coding"
"29654" "ENSG00000270136" "protein_coding"
"29727" "ENSG00000226396" "processed_pseudogene"
"29730" "ENSG00000158747" "protein_coding"
"29885" "ENSG00000158748" "protein_coding"
"29897" "ENSG00000162542" "protein_coding"
"30010" "ENSG00000178828" "protein_coding"
"30018" "ENSG00000235434" "antisense"
"30022" "ENSG00000169914" "protein_coding"
"30051" "ENSG00000188784" "protein_coding"
"30065" "ENSG00000242688" "misc_RNA"
"30068" "ENSG00000188257" "protein_coding"
"30128" "ENSG00000127472" "protein_coding"
